Elevation,Aspect,Slope,new_col1,a_sum
2596,51,3,25960,53
2590,56,2,25900,57
2804,139,9,28040,147
2785,155,18,27850,172
2595,45,2,25950,46
2579,132,6,25790,137
2606,45,7,26060,51
2605,49,4,26050,52
2617,45,9,26170,53
2612,59,10,26120,68
2612,201,4,26120,204
2886,151,11,28860,161
2742,134,22,27420,155
2609,214,7,26090,220
2503,157,4,25030,160
2495,51,7,24950,57
2610,259,1,26100,259
2517,72,7,25170,78
2504,0,4,25040,3
2503,38,5,25030,42
2501,71,9,25010,79
2880,209,17,28800,225
2768,114,23,27680,136
2511,54,8,25110,61
2507,22,9,25070,30
2492,135,6,24920,140
2489,163,10,24890,172
2962,148,16,29620,163
2811,135,1,28110,135
2739,117,24,27390,140
2703,122,30,27030,151
2522,105,7,25220,111
2519,102,6,25190,107
2516,23,6,25160,28
2515,41,9,25150,49
2900,45,19,29000,63
2709,125,28,27090,152
2511,92,7,25110,98
2749,98,30,27490,127
2686,354,12,26860,365
2699,347,3,26990,349
2570,346,2,25700,347
2533,71,9,25330,79
2703,330,27,27030,356
2678,128,5,26780,132
2529,68,8,25290,75
2524,94,7,25240,100
2536,99,6,25360,104
2498,66,6,24980,71
2489,100,7,24890,106
2713,117,30,27130,146
2739,323,25,27390,347
2696,72,2,26960,73
2510,79,14,25100,92
2502,81,7,25020,87
2722,315,24,27220,338
2500,74,11,25000,84
2486,68,5,24860,72
2489,11,4,24890,14
2489,42,6,24890,47
2490,75,5,24900,79
2952,107,11,29520,117
2705,90,8,27050,97
2507,40,7,25070,46
2500,49,14,25000,62
2493,63,10,24930,72
2509,59,7,25090,65
2919,13,13,29190,25
2740,54,6,27400,59
2640,80,8,26400,87
2843,166,12,28430,177
3008,45,14,30080,58
2893,114,16,28930,129
2850,6,9,28500,14
2628,30,10,26280,39
2864,118,18,28640,135
2827,160,28,28270,187
2529,326,5,25290,330
2808,99,7,28080,105
2840,153,26,28400,178
2795,79,10,27950,88
2746,143,16,27460,158
2847,352,26,28470,377
2840,14,14,28400,27
2537,42,7,25370,48
2860,358,17,28600,374
2818,332,26,28180,357
2801,18,7,28010,24
2791,63,10,27910,72
2745,306,11,27450,316
2514,102,6,25140,107
2788,13,16,27880,28
2562,354,12,25620,365
3073,173,12,30730,184
2978,71,10,29780,80
2860,31,10,28600,40
3067,164,11,30670,174
2804,72,5,28040,76
2562,59,3,25620,61
2567,34,9,25670,42
2998,45,8,29980,52
2684,84,12,26840,95
2676,42,11,26760,52
2863,102,15,28630,116
2574,170,5,25740,174
2511,211,6,25110,216
3067,32,4,30670,35
2909,57,16,29090,72
2863,348,14,28630,361
2567,333,1,25670,333
3182,105,11,31820,115
2818,324,12,28180,335
2752,332,6,27520,337
2751,88,5,27510,92
2569,102,7,25690,108
3195,111,15,31950,125
2982,53,14,29820,66
2850,58,6,28500,63
2586,76,4,25860,79
2837,17,13,28370,29
2723,99,6,27230,104
3070,0,11,30700,10
3057,124,12,30570,135
2818,119,19,28180,137
2847,320,33,28470,352
2606,112,11,26060,122
2893,83,6,28930,88
2716,1,10,27160,10
2644,125,20,26440,144
2613,37,5,26130,41
2929,356,12,29290,367
2767,307,12,27670,318
2991,49,13,29910,61
2939,56,18,29390,73
2537,7,12,25370,18
3119,119,7,31190,125
2942,346,12,29420,357
2886,12,7,28860,18
2775,344,13,27750,356
2490,79,9,24900,87
3106,228,18,31060,245
2831,284,24,28310,307
2837,112,8,28370,119
2890,299,23,28900,321
2824,135,5,28240,139
2728,135,3,27280,137
2962,88,16,29620,103
3142,220,11,31420,230
2847,2,6,28470,7
2536,34,5,25360,38
3168,95,6,31680,100
2926,289,24,29260,312
2893,21,6,28930,26
2687,20,11,26870,30
3109,211,17,31090,227
3119,200,20,31190,219
2916,349,10,29160,358
2795,18,3,27950,20
2555,58,14,25550,71
2499,42,13,24990,54
3027,173,11,30270,183
3096,160,15,30960,174
2916,105,13,29160,117
2591,42,12,25910,53
3185,328,16,31850,343
3021,221,10,30210,230
3083,257,4,30830,260
2860,276,33,28600,308
3008,196,15,30080,210
3034,189,14,30340,202
